Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please rank your choices for President - Douglas Lilly,Please rank your choices for President - Daniel Barszczak,Please rank your choices for President - Quinn Glickman,Please rank your choices for Treasurer - Karen Bei,Please rank your choices for Treasurer - William Soylemez,Please rank your choices for Outreach/Publicity Chair - Amanda Yan,Please rank your choices for Social Chair - Quinn Glickman,Please rank your choices for Social Chair - Amanda Yan,Please rank your choices for Mechanical Chair - Juliette Kilgore,Please rank your choices for Electrical Chair - Spencer Goss,Please rank your choices for Electrical Chair - Karen Bei,Please rank your choices for Electrical Chair - Emilio L. Aleman,Please rank your choices for CS Chair - Vanessa Bellotti,Please rank your choices for CS Chair - Cole Glotfelty,Please rank your choices for Secretary - Emilio L. Aleman,Please rank your choices for Secretary - Karen Bei,Please rank your choices for Secretary - Cole Glotfelty,Please rank your choices for Secretary - Amanda Yan
2024-04-05 15:53:59,2024-04-05 15:54:22,Survey Preview,,100,22,True,2024-04-05 15:54:23,R_1MPRDHwdOPYymR8,,,,,42.4178,-71.1134,preview,EN,,,,,,,,,,,,,,,,,,
2024-04-05 18:01:01,2024-04-05 18:02:40,IP Address,130.64.64.38,100,99,True,2024-04-05 18:02:41,R_277J3B4C467Sq70,,,,,42.4178,-71.1134,anonymous,EN,2,1,3,1,2,,1,2,,1,3,2,1,2,3,4,1,2
2024-04-05 18:03:37,2024-04-05 18:05:22,IP Address,90.161.68.140,100,105,True,2024-04-05 18:05:23,R_4jd21a6Lixgj6YX,,,,,41.4656,2.0794,anonymous,EN,2,3,1,2,1,1,,,1,2,3,1,2,1,1,4,2,3
2024-04-05 18:20:14,2024-04-05 18:29:18,IP Address,130.64.64.68,100,543,True,2024-04-05 18:29:18,R_3sdA6onEqc0pRAJ,,,,,42.4178,-71.1134,anonymous,EN,3,2,1,2,1,,1,2,,1,3,2,2,1,2,3,1,4
2024-04-05 18:31:35,2024-04-05 18:33:42,IP Address,130.64.64.36,100,126,True,2024-04-05 18:33:42,R_31jatHYu0VLJ4bh,,,,,42.4178,-71.1134,anonymous,EN,1,2,3,,,,,,,1,3,2,,,3,2,1,4
2024-04-05 18:44:53,2024-04-05 18:46:19,IP Address,130.64.64.40,100,85,True,2024-04-05 18:46:19,R_1vy8ZvURiwv0YM1,,,,,42.4178,-71.1134,anonymous,EN,3,2,1,2,1,1,1,2,1,1,3,2,2,1,2,3,1,4
2024-04-05 19:42:32,2024-04-05 19:50:20,IP Address,192.41.114.225,100,467,True,2024-04-05 19:50:21,R_2BqTlBAoKU9QLgD,,,,,55.9552,-3.2,anonymous,EN,3,2,1,2,1,1,1,2,1,1,2,3,1,2,4,3,1,2
2024-04-05 21:07:13,2024-04-05 21:08:11,IP Address,130.64.64.39,100,58,True,2024-04-05 21:08:12,R_2spLhsZ0J4m5V9x,,,,,42.4178,-71.1134,anonymous,EN,,,,1,2,,,,,,,,2,1,1,2,4,3
2024-04-05 22:25:33,2024-04-05 22:29:43,IP Address,104.28.94.188,100,250,True,2024-04-05 22:29:44,R_2TRHBt7KP45RYMC,,,,,28.5436,-81.3738,anonymous,EN,3,2,1,,,,1,2,,1,2,3,1,2,3,2,1,4
2024-04-06 22:29:39,2024-04-06 22:39:23,IP Address,174.196.196.34,100,584,True,2024-04-06 22:39:23,R_2h2WKjYB6VV3SlX,,,,,42.4188,-71.1557,anonymous,EN,1,3,2,,,,,,,2,1,3,,,4,1,2,3
